เพศ,ช่วงอายุ/ช่วงวัย,ความสัมพันธ์,เทศกาล/โอกาสสำคัญ,คลาสของขวัญ
1,15.4,30.4,15,เสื้อผ้า
1,15.5,33,15,เสื้อผ้า
1,15.6,33.1,15,เสื้อผ้า
1,15.7,33.2,15,เสื้อผ้า
1,15.8,33.3,15,เสื้อผ้า
1,15.9,33.4,15,เสื้อผ้า
1,17,34,16,เสื้อผ้า
1,17.1,34.1,16,เสื้อผ้า
1,17.2,34.2,16,เสื้อผ้า
1,17.3,34.3,16,เสื้อผ้า
1,17.4,34.4,16,เสื้อผ้า
1,17.5,35,16,เสื้อผ้า
1,17.6,35.1,16,เสื้อผ้า
1,17.7,35.2,16,เสื้อผ้า
1,17.8,35.3,16,เสื้อผ้า
1,17.9,35.4,16,เสื้อผ้า
